"sugu","laste_olemasolu","vaatlusperiood","toohoive"
"Naised","3-6-aastased lapsed",2011,74.7
"Naised","3-6-aastased lapsed",2012,77.1
"Naised","3-6-aastased lapsed",2013,81.6
"Naised","3-6-aastased lapsed",2014,81.5
"Naised","3-6-aastased lapsed",2015,82.6
"Naised","3-6-aastased lapsed",2016,78.5
"Naised","3-6-aastased lapsed",2017,83.5
"Naised","3-6-aastased lapsed",2018,84.8
"Naised","3-6-aastased lapsed",2019,83.7
"Naised","3-6-aastased lapsed",2020,83.1
"Naised","3-6-aastased lapsed",2021,81.7
"Naised","3-6-aastased lapsed",2022,84.8
"Naised","7-14-aastased lapsed",1998,83.2
"Naised","7-14-aastased lapsed",1999,84.1
"Naised","7-14-aastased lapsed",2000,82.5
"Naised","7-14-aastased lapsed",2001,82.8
"Naised","7-14-aastased lapsed",2002,79.4
"Naised","7-14-aastased lapsed",2003,80.1
"Naised","7-14-aastased lapsed",2004,85.6
"Naised","7-14-aastased lapsed",2005,83
"Naised","7-14-aastased lapsed",2006,87.3
"Naised","7-14-aastased lapsed",2007,89.7
"Naised","7-14-aastased lapsed",2008,88.3
"Naised","7-14-aastased lapsed",2009,85.1
"Naised","7-14-aastased lapsed",2010,81.2
"Naised","7-14-aastased lapsed",2011,86.4
"Naised","7-14-aastased lapsed",2012,84.4
"Naised","7-14-aastased lapsed",2013,85.2
"Naised","7-14-aastased lapsed",2014,83.5
"Naised","7-14-aastased lapsed",2015,86.4
"Naised","7-14-aastased lapsed",2016,89.7
"Naised","7-14-aastased lapsed",2017,89.4
"Naised","7-14-aastased lapsed",2018,88.5
"Naised","7-14-aastased lapsed",2019,89
"Naised","7-14-aastased lapsed",2020,88.1
"Naised","7-14-aastased lapsed",2021,90.4
"Naised","7-14-aastased lapsed",2022,88.2
