Film	Chapter	Character	Race	Words
The Return Of The King	01: The Finding Of The Ring	Deagol	Hobbit	13
The Return Of The King	02: Journey To The Cross-roads	Frodo	Hobbit	18
The Return Of The King	02: Journey To The Cross-roads	Sam	Hobbit	77
The Return Of The King	03: The Road To Isengard	Gandalf	Wizard	1
The Return Of The King	03: The Road To Isengard	Gimli	Dwarf	22
The Return Of The King	03: The Road To Isengard	Merry	Hobbit	36
The Return Of The King	03: The Road To Isengard	Pippin	Hobbit	51
The Return Of The King	04: The Voice Of Saruman	Aragorn	Man	3
The Return Of The King	04: The Voice Of Saruman	Gandalf	Wizard	111
The Return Of The King	04: The Voice Of Saruman	Gimli	Dwarf	23
The Return Of The King	04: The Voice Of Saruman	Grima Wormtongue	Man	2
The Return Of The King	04: The Voice Of Saruman	Saruman	Wizard	301
The Return Of The King	04: The Voice Of Saruman	Theoden	Man	98
The Return Of The King	05: Return To Edoras	Aragorn	Man	20
The Return Of The King	05: Return To Edoras	Eomer	Man	4
The Return Of The King	05: Return To Edoras	Eowyn	Man	8
The Return Of The King	05: Return To Edoras	Gandalf	Wizard	15
The Return Of The King	05: Return To Edoras	Gimli	Dwarf	40
The Return Of The King	05: Return To Edoras	Legolas	Elf	21
The Return Of The King	05: Return To Edoras	Merry	Hobbit	78
The Return Of The King	05: Return To Edoras	Pippin	Hobbit	73
The Return Of The King	05: Return To Edoras	Rohan Warrior	Man	1
The Return Of The King	05: Return To Edoras	Theoden	Man	52
The Return Of The King	06: Gollum's Villany	Frodo	Hobbit	46
The Return Of The King	06: Gollum's Villany	Sam	Hobbit	65
The Return Of The King	07: Eowyn's Dream	Aragorn	Man	13
The Return Of The King	07: Eowyn's Dream	Eowyn	Man	50
The Return Of The King	08: The Palantir	Aragorn	Man	20
The Return Of The King	08: The Palantir	Gandalf	Wizard	255
The Return Of The King	08: The Palantir	Legolas	Elf	22
The Return Of The King	08: The Palantir	Merry	Hobbit	135
The Return Of The King	08: The Palantir	Pippin	Hobbit	104
The Return Of The King	08: The Palantir	Theoden	Man	22
The Return Of The King	09: Arwen's Vision	Elrond	Elf	36
The Return Of The King	09: Arwen's Vision	Figwit	Elf	7
The Return Of The King	10: The Reforging Of Narsil	Arwen	Elf	100
The Return Of The King	10: The Reforging Of Narsil	Elrond	Elf	30
The Return Of The King	11: Minas Tirith	Denethor	Man	151
The Return Of The King	11: Minas Tirith	Gandalf	Wizard	202
The Return Of The King	11: Minas Tirith	Pippin	Hobbit	36
The Return Of The King	12: The Decline Of Gondor	Gandalf	Wizard	268
The Return Of The King	12: The Decline Of Gondor	Pippin	Hobbit	22
The Return Of The King	13: Cross-roads Of The Fallen King	Frodo	Hobbit	30
The Return Of The King	13: Cross-roads Of The Fallen King	Sam	Hobbit	56
The Return Of The King	14: The Deep Breath Before The Plunge	Gandalf	Wizard	163
The Return Of The King	14: The Deep Breath Before The Plunge	Gondor Man	Man	2
The Return Of The King	14: The Deep Breath Before The Plunge	Pippin	Hobbit	75
The Return Of The King	15: Minas Morgul	Frodo	Hobbit	8
The Return Of The King	15: Minas Morgul	Gandalf	Wizard	20
The Return Of The King	15: Minas Morgul	Sam	Hobbit	5
